Player,No.,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Player-additional
Jamie Arniel,72,ca,C,21,5-11,183,R/-,R,November 16 1989,0 G 0 A 0 P,arnieja01
Matt Bartkowski,43,us,D,22,6-1,203,L/-,R,June 4 1988,0 G 0 A 0 P,bartkma01
Patrice Bergeron,37,ca,C,25,6-1,195,R/-,6,July 24 1985,22 G 35 A 57 P,bergepa01
Johnny Boychuk,55,ca,D,27,6-2,227,R/-,3,January 19 1984,3 G 13 A 16 P,boychjo01
Gregory Campbell,11,ca,C,27,6-0,188,L/-,6,December 17 1983,13 G 16 A 29 P,campbgr01
Jordan Caron,38,ca,RW,20,6-3,204,L/-,R,November 2 1990,3 G 4 A 7 P,caronjo01
Zdeno Chara (C),33,cs,D,33,6-9,250,L/-,12,March 18 1977,14 G 30 A 44 P,charazd01
Andrew Ference,21,ca,D,31,5-11,182,L/-,10,March 17 1979,3 G 12 A 15 P,ferenan01
Zach Hamill,52,ca,C,22,5-11,180,R/-,1,September 23 1988,0 G 1 A 1 P,hamilza01
Shane Hnidy,34,ca,D,35,6-2,210,R/-,9,November 8 1975,0 G 0 A 0 P,hnidysh01
Nathan Horton,18,ca,C,25,6-2,229,R/-,6,May 29 1985,26 G 27 A 53 P,hortona01
Matt Hunwick,48,us,D,25,5-11,200,L/-,3,May 21 1985,1 G 2 A 3 P,hunwima01
Tomas Kaberle,12,cs,D,32,6-1,212,L/-,11,March 2 1978,1 G 8 A 9 P,kaberto01
Steven Kampfer,47,us,D,22,5-11,198,R/-,R,September 24 1988,5 G 5 A 10 P,kampfst01
Chris Kelly,23,ca,C,30,6-0,190,L/-,6,November 11 1980,2 G 3 A 5 P,kellych01
David Krejci,46,cs,C,24,6-0,188,R/-,4,April 28 1986,13 G 49 A 62 P,krejcda01
Milan Lucic,17,ca,LW,22,6-3,231,L/-,3,June 7 1988,30 G 32 A 62 P,lucicmi01
Brad Marchand,63,ca,C,22,5-9,181,L/-,1,May 11 1988,21 G 20 A 41 P,marchbr03
Adam McQuaid,54,ca,D,24,6-4,210,R/-,1,October 12 1986,3 G 12 A 15 P,mcquaad01
Daniel Paille,20,ca,LW,26,6-1,200,L/-,5,April 15 1984,6 G 7 A 13 P,paillda01
Rich Peverley,49,ca,C,28,5-11,195,R/-,4,July 8 1982,4 G 3 A 7 P,peverri01
Tuukka Rask,40,fi,G,23,6-3,176,L/L,3,March 10 1987,11-14-2 2.67 GAA,rasktu01
Mark Recchi,28,ca,RW,42,5-10,195,L/-,21,February 1 1968,14 G 34 A 48 P,recchma01
Michael Ryder,73,ca,RW,30,6-1,200,R/-,6,March 31 1980,18 G 23 A 41 P,rydermi01
Marc Savard,91,ca,C,33,5-10,191,L/-,12,July 17 1977,2 G 8 A 10 P,savarma01
Tyler Seguin,19,ca,C,19,6-1,200,R/-,R,January 31 1992,11 G 11 A 22 P,seguity01
Dennis Seidenberg,44,de,D,29,6-0,199,L/-,7,July 18 1981,7 G 25 A 32 P,seidede01
Mark Stuart,45,us,D,26,6-2,215,L/-,5,April 27 1984,1 G 4 A 5 P,stuarma01
Tim Thomas,30,us,G,36,5-11,201,-/L,6,April 15 1974,35-11-9 2.00 GAA,thomati01
Shawn Thornton,22,ca,RW,33,6-2,217,R/-,7,July 23 1977,10 G 10 A 20 P,thornsh01
Blake Wheeler,26,us,RW,24,6-5,225,R/-,2,August 31 1986,11 G 16 A 27 P,wheelbl01
Alex Auld,35,ca,G,30,6-4,215,-/L,8,January 7 1981,6-2-2 2.64 GAA,auldal01
Dustin Boyd,17,ca,C,24,6-0,187,L/-,4,July 16 1986,1 G 0 A 1 P,boyddu01
Mike Cammalleri,13,ca,C,28,5-9,185,L/-,7,June 8 1982,19 G 28 A 47 P,cammami01
Mathieu Darche,52,ca,LW,34,6-1,215,L/-,7,November 26 1976,12 G 14 A 26 P,darchma01
Nigel Dawes,34,ca,LW,25,5-9,200,L/-,4,February 9 1985,0 G 0 A 0 P,dawesni01
David Desharnais,58,ca,C,24,5-7,180,L/-,1,September 14 1986,8 G 14 A 22 P,deshada01
Lars Eller,81,dk,C,21,6-2,208,L/-,1,May 8 1989,7 G 10 A 17 P,ellerla01
Andreas Engqvist,63,se,C,23,6-4,199,R/-,R,December 23 1987,0 G 0 A 0 P,engqvan01
Hal Gill,75,us,D,35,6-7,243,L/-,12,April 6 1975,2 G 7 A 9 P,gillha01
Brian Gionta (C),21,us,RW,32,5-7,178,R/-,8,January 18 1979,29 G 17 A 46 P,giontbr01
Scott Gomez,11,us,C,31,5-11,200,L/-,10,December 23 1979,7 G 31 A 38 P,gomezsc01
Josh Gorges,26,ca,D,26,6-1,204,L/-,5,August 14 1984,1 G 6 A 7 P,gorgejo01
Jeff Halpern,15,us,C,34,6-0,200,R/-,10,May 3 1976,11 G 15 A 26 P,halpeje01
Roman Hamrlik,44,cs,D,36,6-2,206,L/-,17,April 12 1974,5 G 29 A 34 P,hamrlro01
Andrei Kostitsyn,46,su,LW,25,6-0,214,L/-,5,February 3 1985,20 G 25 A 45 P,kostian01
Maxim Lapierre,40,ca,C,25,6-2,215,R/-,5,March 29 1985,5 G 3 A 8 P,lapiema01
Paul Mara,22,us,D,31,6-4,207,L/-,11,September 7 1979,0 G 4 A 4 P,marapa01
Andrei Markov,79,su,D,32,6-0,200,L/-,9,December 20 1978,1 G 2 A 3 P,markoan01
Travis Moen,32,ca,LW,28,6-2,215,L/-,6,April 6 1982,6 G 10 A 16 P,moentr01
Brendon Nash,47,ca,D,23,6-3,214,L/-,R,March 31 1987,0 G 0 A 0 P,nashbr01
Ryan O'Byrne,20,ca,D,26,6-5,234,R/-,3,July 19 1984,0 G 0 A 0 P,obyrnry01
Max Pacioretty,67,us,LW,22,6-2,206,L/-,2,November 20 1988,14 G 10 A 24 P,pacioma01
Aaron Palushaj,51,us,RW,21,6-0,187,R/-,R,September 7 1989,0 G 0 A 0 P,palusaa01
Alexandre Picard,45,ca,D,25,6-3,215,L/-,5,July 5 1985,3 G 5 A 8 P,picaral01
Tomas Plekanec,14,cs,C,28,5-11,190,L/-,6,October 31 1982,22 G 35 A 57 P,plekato01
Benoit Pouliot,57,ca,LW,24,6-3,200,L/-,4,September 29 1986,13 G 17 A 30 P,poulibe01
Carey Price,31,ca,G,23,6-3,217,L/L,3,August 16 1987,38-28-6 2.35 GAA,priceca01
Tom Pyatt,94,ca,C,23,5-11,185,L/-,1,February 14 1987,2 G 5 A 7 P,pyattto01
Brent Sopel,55,ca,D,34,6-2,205,R/-,11,January 7 1977,0 G 0 A 0 P,sopelbr01
Jaroslav Spacek,6,cs,D,36,6-0,210,L/-,11,February 11 1974,1 G 15 A 16 P,spaceja01
P.K. Subban,76,ca,D,21,6-0,210,R/-,1,May 13 1989,14 G 24 A 38 P,subbapk01
Yannick Weber,68,ch,D,22,5-11,200,R/-,2,September 23 1988,1 G 10 A 11 P,weberya01
Ryan White,53,ca,RW,22,6-0,200,R/-,1,March 17 1988,2 G 3 A 5 P,whitery01
James Wisniewski,20,us,D,26,5-11,203,R/-,5,February 21 1984,7 G 23 A 30 P,wisnija01
Andrew Alberts,41,us,D,29,6-5,206,L/-,5,June 30 1981,1 G 6 A 7 P,alberan01
Jonas Andersson,24,se,RW,29,6-3,204,L/-,1,February 24 1981,0 G 0 A 0 P,anderjo02
Keith Ballard,4,us,D,28,5-11,208,L/-,5,November 26 1982,2 G 5 A 7 P,ballake01
Kevin Bieksa,3,ca,D,29,6-1,197,R/-,5,June 16 1981,6 G 16 A 22 P,biekske01
Mario Bliznak,62,cs,C,23,6-0,185,L/-,1,March 6 1987,1 G 0 A 1 P,bliznma01
Alexandre Bolduc,49,ca,C,25,6-3,200,L/-,2,June 26 1985,2 G 2 A 4 P,boldual01
Alexandre Burrows,14,ca,LW,29,6-1,197,L/-,5,April 11 1981,26 G 22 A 48 P,burroal01
Guillaume Desbiens,34,ca,D,25,6-3,216,R/-,1,April 20 1985,0 G 0 A 0 P,desbigu01
Alexander Edler,23,se,D,24,6-3,215,L/-,4,April 21 1986,8 G 25 A 33 P,edleral01
Christian Ehrhoff,5,de,D,28,6-2,201,L/-,6,July 6 1982,14 G 36 A 50 P,ehrhoch01
Tanner Glass,15,ca,LW,27,6-1,213,L/-,3,November 29 1983,3 G 7 A 10 P,glassta01
Dan Hamhuis,2,ca,D,28,6-1,204,L/-,6,December 13 1982,6 G 17 A 23 P,hamhuda01
Jannik Hansen,36,dk,LW,24,6-1,198,R/-,3,March 15 1986,9 G 20 A 29 P,hanseja01
Chris Higgins,20,us,C,27,6-0,205,L/-,6,June 2 1983,2 G 3 A 5 P,higgich01
Cody Hodgson,39,ca,C,20,6-0,192,R/-,R,February 18 1990,1 G 1 A 2 P,hodgsco01
Ryan Kesler,17,us,C,26,6-2,206,R/-,6,August 31 1984,41 G 32 A 73 P,keslery01
Maxim Lapierre,40,ca,C,25,6-2,215,R/-,5,March 29 1985,1 G 0 A 1 P,lapiema01
Roberto Luongo,1,ca,G,31,6-3,215,-/L,10,April 4 1979,38-15-7 2.11 GAA,luongro01
Manny Malhotra,27,ca,C,30,6-2,220,L/-,11,May 18 1980,11 G 19 A 30 P,malhoma01
Evan Oberg,64,,D,22,6-0,165,-/-,1,February 16 1988,0 G 0 A 0 P,obergev01
Victor Oreskovich,38,ca,D,24,6-3,215,R/-,1,August 15 1986,0 G 3 A 3 P,oreskvi01
Ryan Parent,20,ca,D,23,6-3,198,L/-,4,March 17 1987,0 G 0 A 0 P,parenry01
Joel Perrault,32,ca,C,27,6-2,212,R/-,5,April 6 1983,0 G 0 A 0 P,perrajo01
Mason Raymond,21,ca,LW,25,6-1,179,L/-,3,September 17 1985,15 G 24 A 39 P,raymoma01
Aaron Rome,29,ca,D,27,6-1,218,L/-,4,September 27 1983,1 G 4 A 5 P,romeaa01
Rick Rypien,37,ca,C,26,5-11,190,R/-,5,May 16 1984,0 G 1 A 1 P,rypieri01
Sami Salo,6,fi,D,36,6-3,215,R/-,11,September 2 1974,3 G 4 A 7 P,salosa01
Mikael Samuelsson,26,se,RW,34,6-2,218,R/-,9,December 23 1976,18 G 32 A 50 P,samuemi01
Yann Sauve,47,ca,D,20,6-3,209,L/-,R,February 18 1990,0 G 0 A 0 P,sauveya01
Peter Schaefer,18,ca,LW,33,6-1,200,L/-,8,July 12 1977,1 G 1 A 2 P,schaepe01
Cory Schneider,35,us,G,24,6-2,210,-/L,2,March 18 1986,16-4-2 2.23 GAA,schneco01
Daniel Sedin,22,se,LW,30,6-1,190,L/-,9,September 26 1980,41 G 63 A 104 P,sedinda01
Henrik Sedin (C),33,se,C,30,6-2,183,L/-,9,September 26 1980,19 G 75 A 94 P,sedinhe01
Sergei Shirokov,25,su,LW,24,5-10,195,R/-,1,March 10 1986,1 G 0 A 1 P,shirose01
Lee Sweatt,57,us,D,25,5-9,195,R/-,R,August 13 1985,1 G 1 A 2 P,sweatle01
Jeff Tambellini,10,ca,LW,26,5-11,186,L/-,5,April 13 1984,9 G 8 A 17 P,tambeje01
Chris Tanev,18,ca,D,21,6-2,193,R/-,R,December 20 1989,0 G 1 A 1 P,tanevch01
Raffi Torres,13,ca,LW,29,6-0,210,L/-,8,October 8 1981,14 G 15 A 29 P,torrera01
Aaron Volpatti,54,ca,RW,25,6-0,215,L/-,R,May 30 1985,1 G 1 A 2 P,volpaaa01
Craig Adams,27,bn,RW,33,6-0,197,R/-,9,April 26 1977,4 G 11 A 15 P,adamscr01
Arron Asham,45,ca,RW,32,5-11,205,R/-,11,April 13 1978,5 G 6 A 11 P,ashamar01
Mike Comrie,19,ca,C,30,5-10,185,L/-,9,September 11 1980,1 G 5 A 6 P,comrimi01
Chris Conner,16,us,RW,27,5-8,190,L/-,4,December 23 1983,7 G 9 A 16 P,connech01
Matt Cooke,24,ca,LW,32,5-11,205,L/-,11,September 7 1978,12 G 18 A 30 P,cookema01
Ryan Craig,23,ca,C,29,6-1,215,L/-,5,January 6 1982,0 G 0 A 0 P,craigry01
Sidney Crosby (C),87,ca,C,23,5-11,200,L/-,5,August 7 1987,32 G 34 A 66 P,crosbsi01
Pascal Dupuis,9,ca,LW,31,6-1,205,L/-,9,April 7 1979,17 G 20 A 37 P,dupuipa01
Deryk Engelland,5,ca,D,28,6-2,212,R/-,1,April 3 1982,3 G 7 A 10 P,engelde01
Marc-Andre Fleury,29,ca,G,26,6-2,185,-/L,6,November 28 1984,36-20-5 2.32 GAA,fleurma01
Eric Godard,28,ca,RW,30,6-4,214,R/-,7,March 7 1980,0 G 3 A 3 P,godarer01
Alex Goligoski,3,us,D,25,5-11,185,L/-,3,July 30 1985,9 G 22 A 31 P,goligal01
Andrew Hutchinson,8,us,D,30,6-2,195,R/-,4,March 24 1980,0 G 1 A 1 P,hutchan01
Dustin Jeffrey,15,ca,C,22,6-1,205,L/-,2,February 27 1988,7 G 5 A 12 P,jeffrdu01
Brent Johnson,1,us,G,33,6-3,199,-/L,10,March 12 1977,13-5-3 2.17 GAA,johnsbr02
Nick Johnson,38,ca,RW,25,6-2,200,R/-,1,December 24 1985,1 G 2 A 3 P,johnsni01
Tyler Kennedy,48,ca,C,24,5-11,185,R/-,3,July 15 1986,21 G 24 A 45 P,kennety01
Alex Kovalev,72,su,RW,37,6-2,222,L/-,17,February 24 1973,2 G 5 A 7 P,kovalal01
Chris Kunitz,14,ca,LW,31,6-0,188,L/-,6,September 26 1979,23 G 25 A 48 P,kunitch01
Kris Letang,58,ca,D,23,6-0,201,R/-,4,April 24 1987,8 G 42 A 50 P,letankr01
Mark Letestu,10,ca,C,25,5-10,195,R/-,1,February 4 1985,14 G 13 A 27 P,letesma01
Ben Lovejoy,6,us,D,26,6-1,205,R/-,2,February 20 1984,3 G 14 A 17 P,lovejbe01
Evgeni Malkin,71,su,C,24,6-3,195,L/-,4,July 31 1986,15 G 22 A 37 P,malkiev01
Paul Martin,7,us,D,29,6-1,200,L/-,6,March 5 1981,3 G 21 A 24 P,martipa01
Zbynek Michalek,4,cs,D,28,6-2,210,R/-,6,December 23 1982,5 G 14 A 19 P,michazb01
James Neal,18,ca,LW,23,6-3,212,L/-,2,September 3 1987,1 G 5 A 6 P,nealja01
Matt Niskanen,2,us,D,24,6-1,203,R/-,3,December 6 1986,1 G 3 A 4 P,niskama01
Brooks Orpik,44,us,D,30,6-3,217,L/-,7,September 26 1980,1 G 12 A 13 P,orpikbr01
Corey Potter,42,us,D,27,6-3,204,R/-,2,January 5 1984,0 G 0 A 0 P,potteco01
Mike Rupp,17,us,C,31,6-5,243,L/-,7,January 13 1980,9 G 8 A 17 P,ruppmi01
Jordan Staal,11,ca,C,22,6-4,220,L/-,4,September 10 1988,11 G 19 A 30 P,staaljo01
Brett Sterling,12,us,LW,26,5-7,175,L/-,2,April 24 1984,3 G 2 A 5 P,sterlbr01
Brian Strait,37,us,D,23,6-1,206,L/-,R,January 4 1988,0 G 0 A 0 P,straibr01
Maxime Talbot,25,ca,C,26,5-11,186,L/-,5,February 11 1984,8 G 13 A 21 P,talboma01
Eric Tangradi,26,us,LW,21,6-4,226,L/-,1,February 10 1989,1 G 2 A 3 P,tangrer01
Joe Vitale,46,us,C,25,5-11,205,R/-,R,August 20 1985,1 G 1 A 2 P,vitaljo01
Tim Wallace,22,us,RW,26,6-1,207,R/-,2,August 6 1984,0 G 0 A 0 P,wallati01
